,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
922,25,Female,Bachelor's,Data Analyst,2,110000,Australia,Asian
923,30,Female,PhD,Data Scientist,7,185000,UK,Asian
924,31,Male,Bachelor's,Data Analyst,9,195000,UK,Welsh
925,28,Female,Bachelor's,Software Engineer,5,160000,Canada,Black
926,26,Male,Bachelor's,Data Analyst,3,130000,Australia,Australian
927,29,Female,Master's,Data Scientist,6,180000,USA,Hispanic
928,32,Male,Bachelor's,Software Engineer,8,190000,Canada,Asian
929,33,Female,Master's,Product Manager,11,198000,Canada,White
930,24,Male,Bachelor's,Data Analyst,1,90000,China,Korean
931,27,Male,Bachelor's,Software Engineer,4,140000,UK,Mixed
932,25,Female,Bachelor's,Data Analyst,2,110000,China,White
933,30,Female,PhD,Data Scientist,7,185000,USA,Asian
934,31,Male,Bachelor's,Data Analyst,9,195000,UK,Asian
935,28,Female,Bachelor's,Software Engineer,5,160000,UK,Asian
936,26,Male,Bachelor's,Data Analyst,3,130000,Canada,Black
937,29,Female,Master's,Data Scientist,6,180000,USA,White
938,32,Male,Bachelor's,Software Engineer,8,190000,USA,White
939,33,Female,Master's,Product Manager,11,198000,Canada,White
940,24,Male,Bachelor's,Data Analyst,1,90000,Australia,Asian
941,27,Male,Bachelor's,Software Engineer,4,140000,USA,Hispanic
942,25,Female,Bachelor's,Data Analyst,2,110000,UK,Mixed
943,30,Female,PhD,Data Scientist,7,185000,USA,White
944,32,Male,Bachelor's Degree,Data Analyst,5,135000,USA,Hispanic
945,27,Female,Master's Degree,Data Scientist,3,180000,Canada,Asian
946,40,Male,Bachelor's Degree,Software Engineer,12,195000,Australia,White
947,35,Female,Bachelor's Degree,Product Manager,8,165000,USA,Asian
948,43,Male,Master's Degree,Data Scientist,15,198000,USA,White
949,29,Female,Bachelor's Degree,Software Engineer,4,150000,USA,Hispanic
950,36,Male,Bachelor's Degree,Data Analyst,9,162000,Australia,Asian
951,31,Male,Master's Degree,Data Scientist,6,175000,China,Korean
952,42,Female,Bachelor's Degree,Software Engineer,13,197000,USA,White
953,33,Male,Bachelor's Degree,Data Analyst,7,142000,USA,White
954,29,Female,Master's Degree,Data Scientist,4,182000,Australia,Australian
955,41,Male,Bachelor's Degree,Software Engineer,11,185000,China,Korean
956,35,Female,Bachelor's Degree,Product Manager,8,170000,Australia,Asian
957,27,Male,Bachelor's,Software Engineer,4,160000,Australia,Asian
958,32,Male,Bachelor's,Data Scientist,8,180000,Australia,Australian
959,29,Female,Master's,Data Analyst,6,150000,USA,Asian
960,30,Male,Bachelor's,Data Analyst,5,140000,Canada,White
961,24,Male,Bachelor's,Data Analyst,2,100000,China,Chinese
962,33,Female,Master's,Product Manager,11,190000,UK,Mixed
963,27,Male,Bachelor's,Software Engineer,4,160000,China,White
964,26,Male,Bachelor's,Data Analyst,3,120000,UK,Asian
965,30,Female,PhD,Data Scientist,7,170000,USA,Asian
966,31,Male,Bachelor's,Data Analyst,9,190000,Canada,White
967,28,Female,Bachelor's,Software Engineer,5,150000,Australia,Australian
968,26,Female,Bachelor's,Data Analyst,3,120000,UK,Mixed
969,30,Male,PhD,Data Scientist,7,170000,Canada,Black
970,27,Female,Bachelor's,Product Manager,4,130000,China,Korean
971,24,Male,Bachelor's,Data Analyst,2,95000,Canada,Black
972,33,Male,Master's,Product Manager,11,195000,USA,White
973,25,Male,Bachelor's,Data Analyst,2,100000,USA,Asian
974,28,Male,Bachelor's,Software Engineer,5,150000,UK,Mixed
975,26,Male,Bachelor's,Data Analyst,3,120000,Australia,White
976,29,Female,Master's,Data Scientist,6,150000,USA,White
977,32,Male,Bachelor's,Data Scientist,8,180000,Australia,White
978,33,Female,Master's,Product Manager,11,195000,Australia,Australian
979,27,Male,Bachelor's,Software Engineer,4,160000,UK,Mixed
980,31,Female,Master's,Data Scientist,6,170000,Canada,Black
981,30,Male,Bachelor's,Data Analyst,5,140000,China,White
982,24,Male,Bachelor's,Data Analyst,2,95000,USA,African American
983,28,Female,Bachelor's,Software Engineer,5,150000,Canada,Asian
984,26,Male,Bachelor's,Data Analyst,3,120000,USA,White
985,32,Male,Bachelor's,Software Engineer,8,180000,USA,White
986,33,Female,Master's,Product Manager,11,195000,Australia,Australian
987,25,Male,Bachelor's,Data Analyst,2,100000,China,White
988,30,Female,PhD,Data Scientist,7,170000,UK,Asian
989,27,Male,Bachelor's,Software Engineer,4,160000,USA,White
990,34,Female,Master's,Product Manager,12,190000,USA,White
991,31,Male,Bachelor's,Data Analyst,9,190000,China,White
992,28,Female,Bachelor's,Software Engineer,5,150000,Canada,White
993,26,Male,Bachelor's,Data Analyst,3,120000,UK,White
994,29,Female,Master's,Data Scientist,6,150000,Canada,White
995,32,Male,Bachelor's,Software Engineer,8,180000,China,White
996,33,Female,Master's,Product Manager,11,195000,USA,White
997,24,Male,Bachelor's,Data Analyst,2,95000,Canada,Asian
998,27,Male,Bachelor's,Software Engineer,4,160000,Canada,Asian
999,25,Female,Bachelor's,Data Analyst,2,100000,USA,White
1000,30,Female,PhD,Data Scientist,7,170000,UK,White
1001,31,Male,Bachelor's,Data Analyst,9,190000,Australia,Asian
1002,28,Female,Bachelor's,Software Engineer,5,150000,Canada,White
1003,26,Male,Bachelor's,Data Analyst,3,120000,Australia,White
1004,29,Female,Master's,Data Scientist,6,150000,UK,White
1005,32,Male,Bachelor's,Software Engineer,8,180000,Australia,White
1006,33,Female,Master's,Product Manager,11,195000,China,Korean
1007,24,Male,Bachelor's,Data Analyst,2,95000,Canada,Asian
1008,27,Male,Bachelor's,Software Engineer,4,160000,Australia,Australian
1009,25,Female,Bachelor's,Data Analyst,2,100000,USA,African American
1010,30,Female,PhD,Data Scientist,7,170000,UK,White
1011,31,Male,Bachelor's,Data Analyst,9,190000,China,Chinese
1012,28,Female,Bachelor's,Software Engineer,5,150000,Canada,White
1013,26,Male,Bachelor's,Data Analyst,3,120000,UK,Welsh
1014,29,Female,Master's,Data Scientist,6,150000,Australia,White
1015,32,Male,Bachelor's,Software Engineer,8,180000,China,Korean
1016,33,Female,Master's,Product Manager,11,195000,China,White
1017,24,Male,Bachelor's,Data Analyst,2,95000,Australia,White
1018,27,Male,Bachelor's,Software Engineer,4,160000,UK,Mixed
1019,25,Female,Bachelor's,Data Analyst,2,100000,UK,Welsh
1020,30,Female,PhD,Data Scientist,7,170000,Canada,White
1021,31,Male,Bachelor's,Data Analyst,9,190000,UK,Asian
1022,28,Female,Bachelor's,Software Engineer,5,150000,UK,Asian
1023,26,Male,Bachelor's,Data Analyst,3,120000,China,Chinese
1024,29,Female,Master's,Data Scientist,6,150000,UK,Welsh
1025,32,Male,Bachelor's,Software Engineer,8,180000,Australia,Australian
1026,33,Female,Master's,Product Manager,11,195000,Canada,Black
1027,24,Male,Bachelor's,Data Analyst,2,95000,UK,White
1028,27,Male,Bachelor's,Software Engineer,4,160000,China,Korean
1029,25,Female,Bachelor's,Data Analyst,2,100000,USA,White
1030,30,Female,PhD,Data Scientist,7,170000,Canada,Asian
1031,31,Male,Bachelor's,Data Analyst,9,190000,USA,Hispanic
1032,28,Female,Bachelor's,Software Engineer,5,150000,Canada,Asian
1033,26,Male,Bachelor's,Data Analyst,3,120000,Australia,White
1034,29,Female,Master's,Data Scientist,6,150000,USA,White
1035,32,Male,Bachelor's,Software Engineer,8,180000,USA,Asian
1036,33,Female,Master's,Product Manager,11,195000,Australia,Asian
1037,24,Male,Bachelor's,Data Analyst,2,95000,Canada,Asian
1038,27,Male,Bachelor's,Software Engineer,4,160000,Canada,White
1039,25,Female,Bachelor's,Data Analyst,2,100000,China,White
1040,30,Female,PhD,Data Scientist,7,170000,Australia,Australian
1041,31,Male,Bachelor's,Data Analyst,9,190000,USA,White
1042,28,Female,Bachelor's,Software Engineer,5,150000,Canada,Black
1043,26,Male,Bachelor's,Data Analyst,3,120000,China,Chinese
1044,29,Female,Master's,Data Scientist,6,150000,Canada,Asian
1045,32,Male,Bachelor's,Software Engineer,8,180000,Australia,Asian
1046,33,Female,Master's,Product Manager,11,195000,UK,White
1047,24,Male,Bachelor's,Data Analyst,2,95000,Canada,Black
1048,27,Male,Bachelor's,Software Engineer,4,160000,USA,Asian
1049,25,Female,Bachelor's,Data Analyst,2,100000,China,Chinese
1050,30,Female,PhD,Data Scientist,7,170000,Canada,Black
1051,31,Male,Bachelor's,Data Analyst,9,190000,Canada,Black
1052,28,Female,Bachelor's,Software Engineer,5,150000,Australia,Australian
1053,26,Male,Bachelor's,Data Analyst,3,120000,UK,Asian
1054,29,Female,Master's,Data Scientist,6,150000,UK,Welsh
1055,32,Male,Bachelor's,Software Engineer,8,180000,UK,Asian
1056,33,Female,Master's,Product Manager,11,195000,Australia,Australian
1057,24,Male,Bachelor's,Data Analyst,2,95000,Canada,White
1058,27,Male,Bachelor's,Software Engineer,4,160000,Canada,Asian
1059,25,Female,Bachelor's,Data Analyst,2,100000,Canada,Asian
1060,30,Female,PhD,Data Scientist,7,170000,Australia,Asian
1061,31,Male,Bachelor's,Data Analyst,9,190000,USA,Asian
1062,28,Female,Bachelor's,Software Engineer,5,150000,USA,Hispanic
1063,26,Male,Bachelor's,Data Analyst,3,120000,UK,Welsh
1064,29,Female,Master's,Data Scientist,6,150000,Australia,Asian
1065,32,Male,Bachelor's,Software Engineer,8,180000,USA,Asian
1066,33,Female,Master's,Product Manager,11,195000,China,White
1067,24,Male,Bachelor's,Data Analyst,2,95000,USA,White
1068,27,Male,Bachelor's,Software Engineer,4,160000,Australia,Asian
1069,25,Female,Bachelor's,Data Analyst,2,100000,Australia,Asian
1070,30,Female,PhD,Data Scientist,7,170000,China,Chinese
1071,31,Male,Bachelor's,Data Analyst,9,190000,Canada,White
1072,28,Female,Bachelor's,Software Engineer,5,150000,Canada,White
1073,26,Male,Bachelor's,Data Analyst,3,120000,UK,White
1074,29,Female,Master's,Data Scientist,6,150000,Canada,Black
1075,32,Male,Bachelor's,Software Engineer,8,180000,USA,Hispanic
1076,33,Female,Master's,Product Manager,11,195000,USA,African American
1077,24,Male,Bachelor's,Data Analyst,2,95000,China,White
1078,27,Male,Bachelor's,Software Engineer,4,160000,Canada,Black
1079,25,Female,Bachelor's,Data Analyst,2,100000,Canada,Asian
1080,30,Female,PhD,Data Scientist,7,170000,USA,African American
1081,31,Male,Bachelor's,Data Analyst,9,190000,UK,White
1082,28,Female,Bachelor's,Software Engineer,5,150000,Canada,Black
1083,26,Male,Bachelor's,Data Analyst,3,120000,UK,Welsh
1084,29,Female,Master's,Data Scientist,6,150000,Australia,Australian
1085,32,Male,Bachelor's,Software Engineer,8,180000,Australia,Australian
1086,33,Female,Master's,Product Manager,11,195000,China,White
1087,24,Male,Bachelor's,Data Analyst,2,95000,Canada,Asian
1088,27,Male,Bachelor's,Software Engineer,4,160000,USA,Asian
1089,25,Female,Bachelor's,Data Analyst,2,100000,China,White
1090,30,Female,PhD,Data Scientist,7,170000,Australia,Australian
1091,29,Male,Bachelor's,Software Engineer,7,180000,Canada,Black
1092,27,Female,Bachelor's,Data Analyst,5,120000,Canada,White
1093,33,Male,Master's,Data Scientist,10,195000,Canada,White
1094,28,Male,Bachelor's,Software Engineer,4,160000,Canada,White
1095,26,Female,Bachelor's,Data Analyst,3,100000,USA,Asian
1096,31,Male,Bachelor's,Product Manager,8,190000,China,Korean
1097,30,Male,Master's,Software Engineer,6,170000,Canada,Black
1098,32,Female,Bachelor's,Data Scientist,9,185000,China,Korean
1099,29,Male,Bachelor's,Data Analyst,7,130000,Australia,Australian
1100,35,Female,Bachelor's,Product Manager,12,190000,UK,Welsh
1101,27,Male,Bachelor's,Software Engineer,5,150000,China,Chinese
1102,28,Female,Master's,Data Scientist,6,150000,USA,Asian
1103,37,Male,PhD,Product Manager,14,195000,USA,Hispanic
1104,26,Male,Bachelor's,Data Analyst,3,110000,UK,Asian
1105,30,Female,Bachelor's,Software Engineer,8,180000,China,Korean
1106,31,Male,Master's,Data Scientist,9,185000,Australia,White
1107,29,Female,Bachelor's,Data Analyst,7,130000,China,Chinese
1108,32,Male,Bachelor's,Software Engineer,10,190000,USA,Hispanic
1109,28,Female,Master's,Data Scientist,6,155000,Australia,Australian
1110,34,Male,Bachelor's,Software Engineer,12,195000,UK,White
1111,25,Female,Bachelor's,Data Analyst,2,90000,UK,Asian
1112,30,Male,Bachelor's,Product Manager,8,185000,USA,Hispanic
1113,29,Female,Bachelor's,Data Analyst,6,120000,UK,White
1114,31,Male,Bachelor's,Software Engineer,9,180000,Australia,Asian
1115,26,Female,Bachelor's,Data Analyst,3,100000,Canada,Black
1116,33,Male,Master's,Data Scientist,10,195000,Australia,Australian
1117,28,Male,Bachelor's,Software Engineer,4,160000,Canada,White
1118,27,Female,Bachelor's,Data Analyst,5,125000,USA,Asian
1119,30,Male,Master's,Software Engineer,6,170000,UK,Asian
1120,32,Female,Bachelor's,Data Scientist,9,185000,China,Chinese
1121,29,Male,Bachelor's,Data Analyst,7,130000,Canada,White
1122,35,Female,Bachelor's,Product Manager,12,190000,China,White
1123,27,Male,Bachelor's,Software Engineer,5,150000,UK,Asian
1124,28,Female,Master's,Data Scientist,6,150000,UK,Asian
1125,37,Male,PhD,Product Manager,14,195000,China,Chinese
1126,26,Male,Bachelor's,Data Analyst,3,110000,Australia,Australian
1127,30,Female,Bachelor's,Software Engineer,8,180000,USA,Hispanic
1128,31,Male,Master's,Data Scientist,9,185000,China,White
1129,29,Female,Bachelor's,Data Analyst,7,130000,USA,Asian
1130,32,Male,Bachelor's,Software Engineer,10,190000,China,Korean
1131,28,Female,Master's,Data Scientist,6,155000,China,Korean
1132,34,Male,Bachelor's,Software Engineer,12,195000,UK,White
1133,25,Female,Bachelor's,Data Analyst,2,90000,USA,Asian
1134,30,Male,Bachelor's,Product Manager,8,185000,Australia,Australian
1135,29,Female,Bachelor's,Data Analyst,6,120000,Australia,White
1136,31,Male,Bachelor's,Software Engineer,9,180000,China,Korean
1137,26,Female,Bachelor's,Data Analyst,3,100000,USA,White
1138,33,Male,Master's,Data Scientist,10,195000,Australia,Asian
1139,28,Male,Bachelor's,Software Engineer,4,160000,Australia,White
1140,27,Female,Bachelor's,Data Analyst,5,125000,Australia,White
1141,30,Male,Master's,Software Engineer,6,170000,Australia,White
1142,32,Female,Bachelor's,Data Scientist,9,185000,Australia,Australian
1143,29,Male,Bachelor's,Data Analyst,7,130000,Australia,Asian
1144,35,Female,Bachelor's,Product Manager,12,190000,UK,Mixed
1145,27,Male,Bachelor's,Software Engineer,5,150000,Canada,White
1146,28,Female,Master's,Data Scientist,6,150000,China,Korean
1147,37,Male,PhD,Product Manager,14,195000,Australia,White
1148,26,Male,Bachelor's,Data Analyst,3,110000,Australia,White
1149,30,Female,Bachelor's,Software Engineer,8,180000,China,Chinese
1150,31,Male,Master's,Data Scientist,9,185000,UK,White
1151,29,Female,Bachelor's,Data Analyst,7,130000,China,Korean
1152,32,Male,Bachelor's,Software Engineer,10,190000,China,Korean
1153,28,Female,Master's,Data Scientist,6,155000,China,Korean
1154,34,Male,Bachelor's,Software Engineer,12,195000,Canada,Asian
1155,25,Female,Bachelor's,Data Analyst,2,90000,Australia,White
1156,30,Male,Bachelor's,Product Manager,8,185000,Canada,Asian
1157,29,Female,Bachelor's,Data Analyst,6,120000,Canada,Black
1158,31,Male,Bachelor's,Software Engineer,9,180000,UK,Asian
1159,26,Female,Bachelor's,Data Analyst,3,100000,UK,Asian
1160,33,Male,Master's,Data Scientist,10,195000,Australia,White
1161,28,Male,Bachelor's,Software Engineer,4,160000,Canada,White
1162,27,Female,Bachelor's,Data Analyst,5,125000,China,Korean
1163,30,Male,Master's,Software Engineer,6,170000,Canada,White
1164,32,Female,Bachelor's,Data Scientist,9,185000,USA,Hispanic
1165,29,Male,Bachelor's,Data Analyst,7,130000,Australia,Asian
1166,35,Female,Bachelor's,Product Manager,12,190000,China,White
1167,27,Male,Bachelor's,Software Engineer,5,150000,USA,Asian
1168,28,Female,Master's,Data Scientist,6,150000,Canada,White
1169,37,Male,PhD,Product Manager,14,195000,Australia,Asian
1170,26,Male,Bachelor's,Data Analyst,3,110000,Australia,White
1171,30,Female,Bachelor's,Software Engineer,8,180000,UK,Asian
1172,31,Male,Master's,Data Scientist,9,185000,China,White
1173,29,Female,Bachelor's,Data Analyst,7,130000,Canada,Black
1174,32,Male,Bachelor's,Software Engineer,10,190000,Canada,Black
1175,28,Female,Master's,Data Scientist,6,155000,UK,White
1176,34,Male,Bachelor's,Software Engineer,12,195000,USA,African American
1177,25,Female,Bachelor's,Data Analyst,2,90000,Canada,Black
1178,30,Male,Bachelor's,Product Manager,8,185000,Australia,Asian
1179,29,Female,Bachelor's,Data Analyst,6,120000,UK,Asian
1180,31,Male,Bachelor's,Software Engineer,9,180000,USA,Asian
1181,26,Female,Bachelor's,Data Analyst,3,100000,UK,White
1182,33,Male,Master's,Data Scientist,10,195000,USA,Asian
1183,28,Male,Bachelor's,Software Engineer,4,160000,USA,Hispanic
1184,27,Female,Bachelor's,Data Analyst,5,125000,USA,Hispanic
1185,30,Male,Master's,Software Engineer,6,170000,Canada,White
1186,32,Female,Bachelor's,Data Scientist,9,185000,Canada,White
1187,29,Male,Bachelor's,Data Analyst,7,130000,Canada,White
1188,35,Female,Bachelor's,Product Manager,12,190000,USA,Asian
1189,27,Male,Bachelor's,Software Engineer,5,150000,Australia,Asian
1190,28,Female,Master's,Data Scientist,6,150000,Canada,Asian
1191,37,Male,PhD,Product Manager,14,195000,USA,African American
1192,26,Male,Bachelor's,Data Analyst,3,110000,UK,Mixed
1193,30,Female,Bachelor's,Software Engineer,8,180000,China,Korean
1194,31,Male,Master's,Data Scientist,9,185000,Australia,Asian
1195,29,Female,Bachelor's,Data Analyst,7,130000,Australia,Australian
1196,32,Male,Bachelor's,Software Engineer,10,190000,UK,Mixed
1197,28,Female,Master's,Data Scientist,6,155000,Australia,White
1198,34,Male,Bachelor's,Software Engineer,12,195000,Australia,White
1199,25,Female,Bachelor's,Data Analyst,2,90000,UK,White
1200,30,Male,Bachelor's,Product Manager,8,185000,Canada,Black
1201,28,Male,Bachelor's Degree,Senior Software Engineer,7,175000,USA,Asian
1202,44,Male,PhD,Software Engineer Manager,18,190000,Australia,White
1203,33,Female,Master's Degree,Back end Developer,5,110000,China,White
1204,50,Male,PhD,Senior Project Engineer,16,195000,Canada,Asian
1205,27,Female,Master's Degree,Full Stack Engineer,3,100000,UK,Mixed
1206,25,Male,Bachelor's Degree,Front end Developer,1,60000,China,Korean
1207,35,Male,Master's Degree,Senior Software Engineer,8,155000,Australia,White
1208,47,Female,PhD,Full Stack Engineer,12,175000,UK,Mixed
1209,46,Female,Master's Degree,Senior Project Engineer,13,180000,UK,Welsh
1210,32,Male,Bachelor's Degree,Back end Developer,4,95000,UK,White
1211,61,Male,PhD,Software Engineer Manager,20,200000,UK,Welsh
1212,41,Male,Master's Degree,Senior Software Engineer,11,165000,Australia,Australian
1213,37,Male,Master's Degree,Senior Project Engineer,9,145000,UK,White
1214,53,Male,PhD,Software Engineer Manager,19,195000,Australia,Australian
1215,30,Female,Bachelor's Degree,Front end Developer,2,75000,USA,Asian
1216,26,Female,Master's Degree,Back end Developer,3,90000,Canada,Black
1217,37,Female,Master's Degree,Senior Software Engineer,9,155000,UK,Asian
1218,32,Male,Bachelor's Degree,Full Stack Engineer,5,115000,Australia,White
1219,44,Female,Master's Degree,Senior Software Engineer,12,170000,Canada,Black
1220,50,Female,PhD,Software Engineer Manager,16,190000,UK,Welsh
1221,27,Male,Bachelor's Degree,Senior Project Engineer,4,115000,USA,White
1222,42,Male,PhD,Full Stack Engineer,14,180000,China,White
1223,57,Male,PhD,Software Engineer Manager,18,195000,China,White
1224,35,Male,Master's Degree,Senior Software Engineer,7,140000,China,White
1225,62,Male,PhD,Software Engineer Manager,19,200000,UK,White
1226,26,Female,Master's Degree,Back end Developer,2,70000,Canada,White
1227,42,Female,Master's Degree,Senior Project Engineer,11,170000,Canada,Asian
1228,41,Female,PhD,Software Engineer Manager,14,185000,Canada,Asian
1229,36,Female,Master's Degree,Full Stack Engineer,8,140000,China,Korean
1230,49,Male,PhD,Software Engineer Manager,15,185000,Canada,Black
1231,49,Male,PhD,Senior Project Engineer,15,185000,Australia,Australian
1232,47,Male,PhD,Software Engineer Manager,15,180000,USA,Asian
1233,47,Male,PhD,Senior Software Engineer,14,175000,China,Korean
1234,26,Male,Bachelor's Degree,Front end Developer,2,70000,Canada,White
1235,24,Female,Bachelor's Degree,Back end Developer,1,60000,Canada,White
1236,62,Male,PhD,Software Engineer Manager,20,200000,China,Korean
1237,42,Male,PhD,Senior Software Engineer,14,170000,Australia,White
1238,41,Female,Master's Degree,Senior Project Engineer,11,165000,Canada,Black
1239,23,Male,Bachelor's Degree,Full Stack Engineer,1,55000,Australia,Asian
1240,55,Male,PhD,Software Engineer Manager,17,190000,USA,African American
1241,26,Female,Master's Degree,Back end Developer,3,90000,China,Korean
1242,33,Female,Bachelor's Degree,Front end Developer,5,105000,UK,Welsh
1243,31,Male,Master's Degree,Full Stack Engineer,6,130000,China,Chinese
1244,50,Female,PhD,Software Engineer Manager,16,185000,Australia,Asian
1245,24,Female,Master's Degree,Back end Developer,1,60000,Canada,Asian
1246,56,Male,PhD,Software Engineer Manager,17,195000,China,White
1247,24,Male,Bachelor's Degree,Front end Developer,1,60000,USA,Asian
1248,37,Male,Master's Degree,Senior Software Engineer,8,150000,UK,Mixed
1249,43,Female,PhD,Senior Project Engineer,13,180000,USA,African American
1250,44,Female,Master's Degree,Senior Software Engineer,12,170000,Canada,Black
1251,34,Male,Master's Degree,Back end Developer,6,125000,Canada,White
1252,45,Male,PhD,Software Engineer Manager,15,185000,China,White
1253,29,Male,Bachelor's Degree,Full Stack Engineer,3,90000,UK,White
1254,29,Male,Bachelor's Degree,Front end Developer,3,80000,UK,Mixed
1255,29,Female,Bachelor's Degree,Back end Developer,3,85000,Australia,Australian
1256,48,Male,PhD,Senior Project Engineer,16,190000,UK,White
1257,43,Female,Master's Degree,Software Engineer Manager,11,160000,Canada,White
1258,62,Male,PhD,Software Engineer Manager,19,200000,UK,Mixed
1259,54,Male,PhD,Software Engineer Manager,17,195000,Canada,Asian
1260,60,Male,PhD,Software Engineer Manager,18,195000,Australia,White
1261,54,Female,PhD,Software Engineer Manager,14,190000,Australia,Australian
1262,27,Female,Master's Degree,Full Stack Engineer,3,95000,USA,African American
1263,23,Male,Bachelor's Degree,Back end Developer,1,55000,UK,Asian
1264,45,Male,PhD,Senior Software Engineer,13,185000,Canada,White
1265,32,Female,Master's Degree,Full Stack Engineer,5,120000,Canada,Black
1266,57,Male,PhD,Software Engineer Manager,16,195000,China,Korean
1267,47,Male,PhD,Software Engineer Manager,14,175000,China,White
1268,25,Female,Master's Degree,Back end Developer,2,75000,China,White
1269,58,Male,PhD,Software Engineer Manager,17,200000,UK,Welsh
1270,41,Female,Master's Degree,Senior Software Engineer,12,160000,Canada,Asian
1271,41,Male,PhD,Software Engineer Manager,12,175000,USA,Hispanic
1272,26,Male,Bachelor's Degree,Front end Developer,2,70000,China,Korean
1273,47,Male,PhD,Senior Software Engineer,15,180000,UK,White
1274,24,Female,Bachelor's Degree,Back end Developer,1,60000,UK,White
1275,48,Male,PhD,Senior Project Engineer,16,190000,Australia,Australian
1276,32,Male,Bachelor's Degree,Full Stack Engineer,5,120000,Australia,Australian
1277,61,Male,PhD,Software Engineer Manager,20,200000,USA,Hispanic
1278,45,Male,PhD,Senior Project Engineer,14,185000,Australia,Asian
1279,50,Female,PhD,Software Engineer Manager,16,190000,Canada,Asian
1280,53,Male,PhD,Software Engineer Manager,18,195000,Australia,Australian
1281,47,Female,PhD,Senior Software Engineer,14,170000,China,White
1282,23,Male,Bachelor's Degree,Front end Developer,1,55000,Australia,White
1283,33,Male,Master's Degree,Back end Developer,6,130000,China,Korean
1284,42,Male,PhD,Software Engineer Manager,14,180000,China,Chinese
1285,45,Male,PhD,Senior Project Engineer,14,185000,Australia,White
1286,23,Male,Bachelor's Degree,Front end Developer,1,55000,China,Korean
1287,37,Male,Master's Degree,Senior Software Engineer,9,145000,Canada,White
1288,44,Female,Master's Degree,Senior Project Engineer,12,170000,China,White
1289,54,Male,PhD,Software Engineer Manager,17,195000,UK,Mixed
1290,38,Female,Master's Degree,Back end Developer,10,155000,Australia,Asian
1291,34,Male,Master's Degree,Full Stack Engineer,6,125000,USA,Hispanic
1292,46,Female,PhD,Software Engineer Manager,14,180000,China,Korean
1293,30,Male,Bachelor's Degree,Back end Developer,4,95000,China,Chinese
1294,44,Female,Master's Degree,Senior Software Engineer,11,170000,Canada,White
1295,27,Female,Master's Degree,Full Stack Engineer,3,100000,USA,Asian
1296,42,Male,PhD,Senior Project Engineer,14,175000,China,Korean
1297,27,Male,Bachelor's Degree,Front end Developer,3,80000,UK,Mixed
1298,54,Male,PhD,Software Engineer Manager,18,195000,Canada,Black
1299,38,Male,Master's Degree,Senior Software Engineer,10,155000,Canada,Black
1300,31,Male,Master's Degree,Senior Project Engineer,6,125000,China,Chinese
1301,28,Female,Master's Degree,Full Stack Engineer,4,110000,UK,Asian
1302,30,Female,Master's Degree,Back end Developer,6,130000,USA,Asian
1303,54,Male,PhD,Software Engineer Manager,16,190000,UK,White
1304,62,Male,PhD,Software Engineer Manager,20,200000,Canada,Asian
1305,62,Male,PhD,Software Engineer Manager,19,200000,Australia,Asian
1306,37,Male,Master's Degree,Senior Software Engineer,9,150000,UK,White
1307,31,Male,Master's Degree,Senior Software Engineer,7,140000,UK,Mixed
1308,58,Female,PhD,Software Engineer Manager,17,195000,China,White
1309,56,Male,PhD,Software Engineer Manager,17,195000,UK,White
1310,23,Female,Bachelor's Degree,Back end Developer,1,55000,Australia,Asian
1311,49,Male,PhD,Software Engineer Manager,15,185000,USA,White
1312,32,Female,Master's Degree,Full Stack Engineer,5,120000,USA,White
1313,52,Female,PhD,Software Engineer Manager,16,190000,Canada,White
1314,32,Female,Master's Degree,Full Stack Engineer,6,130000,China,Korean
1315,50,Female,PhD,Software Engineer Manager,16,190000,USA,Asian
1316,32,Male,Master's Degree,Back end Developer,6,130000,China,Chinese
1317,34,Male,Master's Degree,Full Stack Engineer,7,140000,UK,White
1318,28,Male,Bachelor's Degree,Front end Developer,2,70000,Australia,White
1319,44,Male,Master's Degree,Senior Project Engineer,11,170000,USA,Asian
1320,55,Male,PhD,Software Engineer Manager,17,190000,Canada,White
1321,27,Male,Bachelor's Degree,Front end Developer,3,80000,Australia,Australian
1322,46,Male,PhD,Software Engineer Manager,14,180000,UK,Asian
1323,27,Female,Master's Degree,Back end Developer,2,70000,UK,Mixed
1324,45,Male,PhD,Senior Project Engineer,14,185000,China,Chinese
1325,23,Female,Bachelor's Degree,Front end Developer,1,55000,USA,African American
1326,36,Female,Master's Degree,Full Stack Engineer,8,140000,UK,White
1327,47,Female,PhD,Senior Software Engineer,14,170000,Canada,Black
1328,33,Male,Master's Degree,Back end Developer,6,130000,China,Chinese
1329,43,Male,PhD,Software Engineer Manager,13,180000,USA,African American
1330,30,Male,Bachelor's Degree,Back end Developer,4,95000,USA,White
1331,28,Female,Bachelor's Degree,Front end Developer,2,70000,UK,Mixed
1332,43,Male,Master's Degree,Senior Project Engineer,12,165000,Canada,White
1333,43,Male,PhD,Senior Project Engineer,13,185000,China,Korean
1334,36,Male,Master's Degree,Senior Software Engineer,7,140000,UK,White
1335,24,Male,Bachelor's Degree,Front end Developer,1,60000,Australia,White
1336,28,Female,Bachelor's Degree,Front end Developer,3,80000,Australia,Asian
1337,37,Male,Master's Degree,Senior Software Engineer,9,150000,China,White
1338,41,Female,PhD,Software Engineer Manager,14,185000,Australia,Asian
1339,26,Male,Bachelor's Degree,Front end Developer,2,70000,Canada,White
